Open,High,Low,Close,Volume,Date
28.8,33.8,28.5,30,76800,2012-01-02
30.2,32,30.2,31.95,25800,2012-01-03
32.05,38,32.05,37,185400,2012-01-04
40,55.5,40,55.5,686600,2012-01-05
60,65,55,57.9,563550,2012-01-06
51,63.65,42,63,508410,2012-01-09
63.9,63.9,52.2,54.75,315490,2012-01-10
50.55,60.1,50.5,54,318940,2012-01-11
54,57,52.8,53,66460,2012-01-12
54.9,54.9,52,52,86480,2012-01-13
50.9,53.2,50.55,51,43690,2012-01-16
51,53.25,49.5,52,147010,2012-01-17
52,52.5,50.25,50.6,121380,2012-01-18
51.7,54.95,51.7,52.1,115440,2012-01-19
53.5,53.5,51.2,51.3,56210,2012-01-20
51.65,51.7,46.5,49,141270,2012-01-24
49,49.05,46.75,47.4,54800,2012-01-25
48,55,46.8,50.5,249800,2012-01-26
53.45,55,50.7,51.05,163350,2012-01-27
51.9,51.9,47,48.45,98210,2012-01-30
46.9,48.3,46.9,47,224200,2012-01-31
47.6,48.05,46.95,47.75,52600,2012-02-01
47.8,48.3,46.9,47.05,30200,2012-02-02
47.1,47.1,42.5,42.5,189100,2012-02-03
44.5,49.6,44,49.5,128900,2012-02-06
47,47,30.5,38.5,180400,2012-02-14
30,33.5,26.5,30,267200,2012-02-15
30,35,30,30.2,160800,2012-02-16
30.5,31,29.9,29.9,135200,2012-02-17
29.8,29.8,27,27,267600,2012-02-20
27.5,31.45,27,27.5,163900,2012-02-21
27.5,30,27.3,29.9,111900,2012-02-22
29.9,30.15,28.5,28.5,58600,2012-02-23
29,29,28.5,28.5,5600,2012-02-24
29,29,27,27,100600,2012-02-27
27.05,27.2,26.5,26.5,39100,2012-02-28
26.55,27,26,26.2,47800,2012-02-29
26.9,27.05,26,26,105900,2012-03-01
26.2,26.85,25.9,26,100700,2012-03-02
26.1,26.3,25.85,26,65800,2012-03-05
26.05,26.15,26,26.05,12600,2012-03-06
26.25,26.4,25.5,25.8,50500,2012-03-07
25.85,28.25,25.85,26.95,138800,2012-03-08
27.5,28.85,27.5,28.1,70800,2012-03-09
28.25,30.5,28.15,29.6,103500,2012-03-12
29.6,30.3,28.5,28.5,115100,2012-03-13
29.8,31,29.5,29.5,127400,2012-03-14
29.05,29.5,28.45,28.45,130900,2012-03-15
28.8,42.65,28.8,42.55,1422500,2012-03-16
48,49,38.6,39,1481100,2012-03-19
39.3,39.4,34,35,1041100,2012-03-20
35.6,37.5,35,35.5,911300,2012-03-21
35.5,38.25,35.5,35.65,693000,2012-03-22
35.5,36.1,35.5,35.5,159900,2012-03-23
35.5,38,35.45,36,561600,2012-03-26
36.2,36.7,34,34.1,349500,2012-03-27
34.2,34.55,33.25,33.8,264900,2012-03-28
33.55,33.95,33,33.5,221000,2012-03-29
33.95,33.95,33.25,33.45,52500,2012-03-30
33.5,34.35,33.35,33.6,48300,2012-04-02
33.6,34,31,31,405200,2012-04-03
29,34.5,28.8,30.3,1150600,2012-04-04
30.3,30.3,29.05,29.75,298400,2012-04-10
29.8,29.8,27.5,27.5,325000,2012-04-11
27.7,28.65,25.35,25.5,756400,2012-04-12
25.45,25.45,20,21,1348800,2012-04-13
21.8,21.8,19,19.5,605600,2012-04-16
19.5,19.5,14.72,15.98,1623400,2012-04-17
15.74,15.74,13.5,13.5,1493600,2012-04-18
12,12.98,11,11.8,2771900,2012-04-19
11.8,15.2,11.8,15,7094500,2012-04-20
15.8,16.2,12.76,13.08,8971200,2012-04-23
12.6,12.6,11.52,11.8,2538100,2012-04-24
11.82,12.04,11.46,11.6,1548600,2012-04-25
11.6,12.06,11.6,11.64,920900,2012-04-26
11.98,14.3,11.72,12,2467400,2012-04-27
12,12,8.5,9.01,197135900,2012-05-02
9,9.75,8.99,9.4,188560900,2012-05-03
9.52,9.9,9.52,9.7,62633100,2012-05-04
9.73,9.73,9.56,9.6,21772800,2012-05-07
9.7,9.98,9.7,9.75,36206600,2012-05-08
9.75,9.75,9.45,9.5,33067200,2012-05-09
9.5,9.5,9.1,9.1,45212400,2012-05-10
9.17,9.2,8.9,9,39015800,2012-05-11
9,9,8.18,8.21,25658200,2012-05-14
8.3,8.47,8.13,8.46,37369000,2012-05-15
8.72,8.75,8.3,8.45,17122300,2012-05-16
8.49,8.6,8.22,8.32,24361800,2012-05-17
8.32,8.35,8.22,8.31,6152700,2012-05-18
8.31,8.35,8.19,8.24,7223200,2012-05-21
8.3,8.74,8.3,8.42,14732000,2012-05-22
8.54,8.79,8.4,8.41,6403500,2012-05-23
8.5,8.5,8.3,8.34,4267300,2012-05-24
8.5,8.62,8.48,8.5,3225100,2012-05-25
8.5,8.53,8.44,8.5,1031300,2012-05-28
8.5,9.1,8.5,8.78,11599000,2012-05-29
9.02,9.15,8.86,9,10428700,2012-05-30
8.9,9.14,8.75,8.98,3933700,2012-05-31
8.97,8.99,8.85,8.88,1132700,2012-06-01
8.75,8.76,8.28,8.37,14554100,2012-06-04
8.41,8.5,8.38,8.4,5627000,2012-06-05
8.5,8.8,8.5,8.7,4924800,2012-06-06
8.8,8.96,8.61,8.7,3000000,2012-06-07
8.7,8.8,8.69,8.74,2147000,2012-06-08
8.75,8.75,8.66,8.66,1992900,2012-06-11
8.6,8.6,8.33,8.33,18952800,2012-06-13
8.3,8.34,8.23,8.23,8080700,2012-06-14
8.24,8.34,8.24,8.25,2919700,2012-06-15
8.3,8.4,8.3,8.33,1768600,2012-06-18
8.33,8.5,8.33,8.4,3897600,2012-06-19
8.4,8.6,8.38,8.4,11206500,2012-06-20
8.4,8.49,8.31,8.41,10727900,2012-06-21
8.41,8.55,8.36,8.43,5511900,2012-06-22
8.5,9,8.5,8.9,24307100,2012-06-25
8.94,8.96,8.8,8.87,28165900,2012-06-26
8.87,9.45,8.87,9.29,23129800,2012-06-27
9.43,9.5,9.05,9.2,11141300,2012-06-28
9.26,9.66,9.26,9.51,20397300,2012-06-29
9.65,9.65,9.42,9.5,11731300,2012-07-02
9.52,10.12,9.44,9.9,23339500,2012-07-03
9.95,10.14,9.88,9.96,14209300,2012-07-04
10,10.42,9.82,10.2,13316000,2012-07-05
10.3,10.56,10.26,10.46,23942300,2012-07-06
10.48,10.94,10.48,10.66,23883200,2012-07-09
10.68,10.72,10.4,10.5,16179900,2012-07-10
10.5,10.5,10.22,10.28,10625000,2012-07-11
10.3,10.64,10.3,10.48,8658600,2012-07-12
10.48,10.6,10.38,10.4,4302600,2012-07-13
10.5,10.52,10.06,10.16,21958600,2012-07-16
10.16,10.26,10.16,10.2,9372400,2012-07-17
10.2,10.22,10,10.06,6639200,2012-07-18
10.08,10.08,9.79,9.79,18303600,2012-07-19
9.94,9.94,9.82,9.88,4545500,2012-07-20
9.88,9.88,9.58,9.58,6347200,2012-07-23
9.6,9.98,9.56,9.95,3875900,2012-07-24
9.85,10.06,9.85,9.98,2364800,2012-07-25
10.06,10.12,9.9,9.99,5233200,2012-07-26
10.04,10.06,9.97,9.99,3677300,2012-07-27
10,10.08,10,10.04,2570500,2012-07-30
10.06,10.32,10.06,10.2,6482400,2012-07-31
10.2,10.2,10.1,10.14,5623300,2012-08-01
10.14,10.26,10.06,10.06,7136000,2012-08-02
10.06,10.12,9.99,10,4618300,2012-08-03
9.99,10.18,9.99,10.02,7038900,2012-08-06
10.1,10.1,9.95,9.95,4869000,2012-08-08
9.96,9.98,9.85,9.85,2956200,2012-08-09
9.85,10,9.6,10,53563900,2012-08-10
10,10,9.85,9.85,471200,2012-08-13
9.85,9.95,9.71,9.89,13008400,2012-08-14
9.85,9.86,9.81,9.81,1289400,2012-08-15
9.84,9.88,9.81,9.83,1093300,2012-08-16
9.84,10.06,9.84,10.06,4023700,2012-08-17
10.06,10.12,9.93,9.95,1397700,2012-08-22
10,10.02,9.9,9.92,1234500,2012-08-23
9.9,9.97,9.78,9.8,5085200,2012-08-24
9.85,9.9,9.8,9.82,2333800,2012-08-28
9.88,9.92,9.79,9.8,4621500,2012-08-29
9.9,9.9,9.75,9.79,1238100,2012-08-30
9.79,9.8,9.58,9.62,6642300,2012-08-31
9.7,9.7,9.65,9.68,3468700,2012-09-03
9.65,9.65,9.45,9.5,11444400,2012-09-04
9.52,9.53,9.45,9.5,8674900,2012-09-05
9.45,9.6,9.45,9.49,20662600,2012-09-06
9.52,9.7,9.52,9.65,12029000,2012-09-07
9.7,9.7,9.6,9.6,5540500,2012-09-10
9.6,9.7,9.6,9.7,995000,2012-09-11
9.71,10.02,9.71,10,22717100,2012-09-12
10,10.28,10,10.14,5125500,2012-09-13
